model,calculusType,cell,alpha_0,beta_0,r_nucleus,r_domain,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF0.mixedField,15.4196,0.395769,0.00342618,0.00321709,0.00644695,0.0143407,1,0,0,0.445652,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF1.mixedField,1039.86,239.753,0.0318154,0.06438,0.162091,0.307501,1,0,0,0.70449,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF2.mixedField,951.749,282.243,0.0326098,0.0669536,0.170077,0.314129,1,0,0,0.719234,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF3.mixedField,877.113,297.938,0.0330173,0.0671448,0.169564,0.312083,1,0,0,0.73563,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF4.mixedField,824.885,308.27,0.0330914,0.0665823,0.16706,0.306911,1,0,0,0.748989,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF5.mixedField,757.32,303.486,0.033883,0.0674724,0.168243,0.307952,1,0,0,0.770118,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF6.mixedField,691.419,293.342,0.0349751,0.068687,0.169868,0.30986,1,0,0,0.796757,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF7.mixedField,626.238,278.028,0.036381,0.070021,0.171147,0.310554,1,0,0,0.827492,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF8.mixedField,559.405,257.304,0.0382195,0.0715333,0.172104,0.309547,1,0,0,0.866159,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF9.mixedField,491.963,232.338,0.040923,0.0750293,0.178484,0.320601,1,0,0,0.915924,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF10.mixedField,414.037,205.656,0.0441196,0.074424,0.169663,0.30095,1,0,0,0.989961,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF11.mixedField,327.362,170.589,0.050414,0.0785291,0.172737,0.294736,1,0,0,1.10629,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF12.mixedField,233.737,122.628,0.0622152,0.0889542,0.1894,0.304739,1,0,0,1.2893,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF13.mixedField,69.987,27.0442,0.174295,0.144294,0.293752,0.254733,1,0,0,1.6053,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF14.mixedField,39.141,31.1416,0.146647,0.296392,0.745691,0.198351,1,0,0,0.579238,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF15.mixedField,45.4223,29.4799,0.0233579,0.102815,0.475922,0.418278,1,0,0,0.874156,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF16.mixedField,45.4827,29.0894,0.0178823,0.0804497,0.379813,0.389985,1,0,0,0.847579,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF17.mixedField,45.4417,29.0365,0.0161987,0.0773326,0.385385,0.366093,1,0,0,0.725053,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF18.mixedField,45.0849,28.5434,0.0148683,0.0731273,0.374533,0.367165,1,0,0,0.682443,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF19.mixedField,44.3617,27.4828,0.0138758,0.0682593,0.349663,0.389965,1,0,0,0.723943,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF20.mixedField,43.0759,26.3747,0.0144931,0.0702987,0.355476,0.358469,1,0,0,0.708717,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF21.mixedField,41.8341,24.9321,0.0157158,0.0772928,0.395853,0.366672,1,0,0,0.67353,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF22.mixedField,40.8482,24.0429,0.0143583,0.0693555,0.349368,0.362076,1,0,0,0.731565,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF23.mixedField,39.5941,22.9569,0.014208,0.0678912,0.338619,0.352308,1,0,0,0.750608,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF24.mixedField,38.4724,21.9307,0.0142561,0.0679116,0.337766,0.36139,1,0,0,0.779037,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF25.mixedField,37.4762,21.0875,0.0135198,0.0627679,0.304929,0.34374,1,0,0,0.830945,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF26.mixedField,36.4802,20.2353,0.0133967,0.0618089,0.298567,0.341844,1,0,0,0.862291,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF27.mixedField,35.5496,19.7022,0.0141602,0.0658272,0.320174,0.348776,1,0,0,0.848295,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF28.mixedField,34.5902,18.7447,0.0119746,0.0553476,0.267797,0.35666,1,0,0,0.989799,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF29.mixedField,33.3113,17.8845,0.0134684,0.0620694,0.299518,0.348789,1,0,0,0.931382,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF30.mixedField,32.5671,17.1384,0.0123289,0.0553777,0.261069,0.325543,1,0,0,1.02383,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF31.mixedField,31.7129,16.5362,0.0131088,0.0596491,0.284531,0.336404,1,0,0,1.00447,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF32.mixedField,30.7325,15.6518,0.0128051,0.0565087,0.262177,0.314824,1,0,0,1.06754,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF33.mixedField,30.1235,14.9738,0.0121423,0.0538989,0.251397,0.309423,1,0,0,1.11498,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF34.mixedField,29.3431,14.5212,0.012124,0.0532256,0.245789,0.299852,1,0,0,1.15778,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF35.mixedField,28.5834,13.7603,0.0114601,0.0530282,0.256833,0.358625,1,0,0,1.21003,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF36.mixedField,27.8693,13.2163,0.0119475,0.0515211,0.234122,0.284297,1,0,0,1.21995,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF37.mixedField,27.2902,12.6547,0.0101439,0.046106,0.219705,0.329395,1,0,0,1.27442,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF38.mixedField,26.5374,12.3115,0.0122446,0.0517598,0.231042,0.270135,1,0,0,1.27906,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF39.mixedField,26.1314,11.9356,0.0128875,0.0562281,0.25821,0.304237,1,0,0,1.28324,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF40.mixedField,25.588,11.411,0.012128,0.050693,0.224016,0.26162,1,0,0,1.358,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF41.mixedField,25.2584,11.1175,0.0130527,0.0561682,0.254754,0.292307,1,0,0,1.33583,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF42.mixedField,24.8615,10.8878,0.0107506,0.0488465,0.23269,0.332648,1,0,0,1.41081,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF43.mixedField,24.1851,10.4388,0.0115401,0.0495791,0.224544,0.288041,1,0,0,1.4452,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF44.mixedField,23.9147,10.2102,0.0131844,0.0545334,0.238745,0.269941,1,0,0,1.43559,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF45.mixedField,23.4921,9.78907,0.0126589,0.0481788,0.196024,0.192175,1,0,0,1.50672,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF46.mixedField,23.058,9.61721,0.0105329,0.0423185,0.180558,0.230587,1,0,0,1.51302,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF47.mixedField,22.6009,9.06089,0.0115847,0.0440164,0.178826,0.213967,1,0,0,1.59214,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF48.mixedField,22.2863,8.49376,0.0123798,0.0476587,0.195852,0.223623,1,0,0,1.5806,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF49.mixedField,21.9002,8.25051,0.0117995,0.0466563,0.196282,0.258032,1,0,0,1.60109,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF50.mixedField,21.7116,8.57017,0.0109072,0.0444301,0.191891,0.261457,1,0,0,1.56731,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF51.mixedField,21.6005,8.18767,0.0107727,0.0405272,0.163238,0.209555,1,0,0,1.61063,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF52.mixedField,20.8839,7.7312,0.01245,0.0447877,0.17357,0.198174,1,0,0,1.67394,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF53.mixedField,20.9838,7.45226,0.0125865,0.0501094,0.212082,0.285115,1,0,0,1.63423,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF54.mixedField,20.7584,7.32159,0.0124989,0.049961,0.212205,0.285169,1,0,0,1.63539,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF55.mixedField,20.2245,6.90897,0.0128489,0.0469925,0.184716,0.227451,1,0,0,1.68872,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF56.mixedField,19.9732,7.05786,0.0132309,0.0504061,0.205265,0.253658,1,0,0,1.65592,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF57.mixedField,19.8647,6.85098,0.0133671,0.0461859,0.172949,0.200588,1,0,0,1.74347,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF58.mixedField,19.9037,6.83727,0.0124391,0.0441323,0.169014,0.212495,1,0,0,1.71059,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF59.mixedField,19.3155,6.73848,0.0127639,0.0472217,0.187467,0.257381,1,0,0,1.68739,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF60.mixedField,19.3529,6.57188,0.0119359,0.038366,0.135257,0.15261,1,0,0,1.74716,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF61.mixedField,18.7619,6.16785,0.015249,0.0535404,0.203234,0.255835,1,0,0,1.73601,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF62.mixedField,18.5404,6.00704,0.014544,0.0510494,0.193727,0.245652,1,0,0,1.74199,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF63.mixedField,18.3701,5.96813,0.0139037,0.0459902,0.166029,0.210781,1,0,0,1.778,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF64.mixedField,18.0018,5.6939,0.014416,0.0500535,0.188205,0.244868,1,0,0,1.73861,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF65.mixedField,17.9414,5.80234,0.0132908,0.0404186,0.136208,0.151888,1,0,0,1.80818,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF66.mixedField,17.8204,5.60538,0.0139169,0.0435645,0.150288,0.181117,1,0,0,1.80719,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF67.mixedField,17.5176,5.76346,0.0131157,0.0391467,0.129957,0.154991,1,0,0,1.79591,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF68.mixedField,17.2837,5.4272,0.0152767,0.0532262,0.200724,0.262874,1,0,0,1.72949,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF69.mixedField,17.2086,5.59075,0.0169298,0.0554694,0.198672,0.235698,1,0,0,1.7744,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF70.mixedField,16.7644,5.79173,0.0147463,0.0434252,0.142625,0.164167,1,0,0,1.84479,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF71.mixedField,16.7209,5.51752,0.0183091,0.0547973,0.182312,0.197738,1,0,0,1.83297,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF72.mixedField,16.4021,5.24717,0.0148993,0.0451655,0.151813,0.188532,1,0,0,1.8013,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF73.mixedField,16.158,5.31489,0.0160446,0.0458814,0.147248,0.175639,1,0,0,1.8714,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF74.mixedField,16.0144,5.42728,0.0178093,0.0490476,0.152888,0.142389,1,0,0,1.88613,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF75.mixedField,15.7857,5.31167,0.0162075,0.0419046,0.124552,0.0982096,1,0,0,1.90333,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF76.mixedField,15.5217,5.39806,0.0168913,0.0460398,0.14238,0.162668,1,0,0,1.87779,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF77.mixedField,15.2853,5.32886,0.0183103,0.0507221,0.158817,0.187884,1,0,0,1.88832,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF78.mixedField,15.2602,5.14597,0.0178638,0.0487356,0.150823,0.150338,1,0,0,1.88239,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF79.mixedField,14.9757,5.22399,0.0173233,0.0448414,0.133395,0.136721,1,0,0,1.90807,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF80.mixedField,15.0164,5.27084,0.0184028,0.0512911,0.161357,0.195351,1,0,0,1.86692,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF81.mixedField,14.7113,5.3087,0.018884,0.0503618,0.153194,0.170766,1,0,0,1.88851,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF82.mixedField,14.9411,6.30261,0.0179262,0.0483516,0.148343,0.17338,1,0,0,1.89399,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF83.mixedField,14.5491,5.18127,0.0189909,0.046232,0.13154,0.0899848,1,0,0,1.94301,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF84.mixedField,14.2579,5.11575,0.0181385,0.0516822,0.165398,0.24195,1,0,0,1.85813,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF85.mixedField,14.276,5.09174,0.0180529,0.0451989,0.131217,0.123468,1,0,0,1.90951,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF86.mixedField,13.9988,5.26903,0.0183796,0.0441999,0.124673,0.13785,1,0,0,1.92819,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF87.mixedField,13.8154,5.10145,0.0188302,0.0491588,0.147166,0.182351,1,0,0,1.88808,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF88.mixedField,13.8803,5.16808,0.0196962,0.0493942,0.143567,0.154508,1,0,0,1.92031,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF89.mixedField,13.4464,5.07091,0.0188191,0.0466657,0.134536,0.168448,1,0,0,1.91972,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF90.mixedField,13.456,5.03038,0.0185458,0.0448276,0.1269,0.133568,1,0,0,1.91031,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF91.mixedField,13.4811,5.06373,0.0185712,0.0441678,0.123615,0.128848,1,0,0,1.92428,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF92.mixedField,13.0011,4.91205,0.0188301,0.0453365,0.127985,0.137751,1,0,0,1.89926,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF93.mixedField,12.8071,5.02003,0.0221277,0.0524803,0.146595,0.15548,1,0,0,1.95026,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF94.mixedField,12.8836,4.85316,0.0183422,0.0398382,0.104868,0.0520357,1,0,0,1.94637,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF95.mixedField,12.5466,4.78722,0.0192946,0.0446517,0.122628,0.126067,1,0,0,1.93053,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF96.mixedField,12.7383,5.0342,0.022451,0.0526856,0.146088,0.14008,1,0,0,1.9448,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF97.mixedField,12.1807,4.66255,0.0208704,0.0492047,0.136877,0.138175,1,0,0,1.92315,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF98.mixedField,12.3046,4.83697,0.0203154,0.0463273,0.12596,0.130844,1,0,0,1.93884,0.073,0,0
